group,filename,correct,solution_length
experimental,gpt-4o/lowtemp/solution_experimental_1.py,1,289
control,gpt-4o/lowtemp/solution_control_1.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_2.py,1,664
control,gpt-4o/lowtemp/solution_control_2.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_3.py,1,425
control,gpt-4o/lowtemp/solution_control_3.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_4.py,1,289
control,gpt-4o/lowtemp/solution_control_4.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_5.py,1,289
control,gpt-4o/lowtemp/solution_control_5.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_6.py,1,289
control,gpt-4o/lowtemp/solution_control_6.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_7.py,1,289
control,gpt-4o/lowtemp/solution_control_7.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_8.py,1,289
control,gpt-4o/lowtemp/solution_control_8.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_9.py,1,676
control,gpt-4o/lowtemp/solution_control_9.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_10.py,0,
control,gpt-4o/lowtemp/solution_control_10.py,1,306
experimental,gpt-4o/lowtemp/solution_experimental_11.py,1,289
control,gpt-4o/lowtemp/solution_control_11.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_12.py,1,289
control,gpt-4o/lowtemp/solution_control_12.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_13.py,1,289
control,gpt-4o/lowtemp/solution_control_13.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_14.py,1,289
control,gpt-4o/lowtemp/solution_control_14.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_15.py,1,289
control,gpt-4o/lowtemp/solution_control_15.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_16.py,1,289
control,gpt-4o/lowtemp/solution_control_16.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_17.py,1,289
control,gpt-4o/lowtemp/solution_control_17.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_18.py,1,289
control,gpt-4o/lowtemp/solution_control_18.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_19.py,1,289
control,gpt-4o/lowtemp/solution_control_19.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_20.py,1,289
control,gpt-4o/lowtemp/solution_control_20.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_21.py,1,289
control,gpt-4o/lowtemp/solution_control_21.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_22.py,1,289
control,gpt-4o/lowtemp/solution_control_22.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_23.py,1,289
control,gpt-4o/lowtemp/solution_control_23.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_24.py,1,289
control,gpt-4o/lowtemp/solution_control_24.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_25.py,1,308
control,gpt-4o/lowtemp/solution_control_25.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_26.py,1,664
control,gpt-4o/lowtemp/solution_control_26.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_27.py,1,664
control,gpt-4o/lowtemp/solution_control_27.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_28.py,1,289
control,gpt-4o/lowtemp/solution_control_28.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_29.py,1,710
control,gpt-4o/lowtemp/solution_control_29.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_30.py,1,289
control,gpt-4o/lowtemp/solution_control_30.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_31.py,1,668
control,gpt-4o/lowtemp/solution_control_31.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_32.py,1,289
control,gpt-4o/lowtemp/solution_control_32.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_33.py,1,289
control,gpt-4o/lowtemp/solution_control_33.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_34.py,1,289
control,gpt-4o/lowtemp/solution_control_34.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_35.py,1,289
control,gpt-4o/lowtemp/solution_control_35.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_36.py,1,289
control,gpt-4o/lowtemp/solution_control_36.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_37.py,1,289
control,gpt-4o/lowtemp/solution_control_37.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_38.py,1,664
control,gpt-4o/lowtemp/solution_control_38.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_39.py,1,289
control,gpt-4o/lowtemp/solution_control_39.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_40.py,1,668
control,gpt-4o/lowtemp/solution_control_40.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_41.py,1,668
control,gpt-4o/lowtemp/solution_control_41.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_42.py,0,
control,gpt-4o/lowtemp/solution_control_42.py,1,289
experimental,gpt-4o/lowtemp/solution_experimental_43.py,1,289
control,gpt-4o/lowtemp/solution_control_43.py,1,289
